8 57 39 491693 -1 37566
8 57 39 545322 -1 37616
8 57 39 594380 -1 37666
8 57 39 643640 -1 37716
8 57 39 692469 -1 37766
8 57 39 741927 -1 37816
8 57 39 795226 -1 37866
8 57 39 844322 -1 37916
8 57 39 893244 -1 37966
8 57 39 942605 -1 38016
8 57 39 995503 -1 38066
8 57 40 45107 -1 38116
8 57 40 94167 -1 38166
8 57 40 143360 -1 38216
8 57 40 196441 -1 38266
8 57 40 245657 -1 38316
8 57 40 294920 -1 38366
8 57 40 343916 -1 38416
8 57 40 393009 -1 38466
8 57 40 446470 -1 38516
8 57 40 495635 -1 38566
8 57 40 544755 -1 38616
8 57 40 593620 -1 38666
8 57 40 643108 -1 38716
8 57 40 696135 -1 38766
8 57 40 745620 -1 38816
8 57 40 794598 0 38866
8 57 40 843824 1 38916
8 57 40 892682 1 38966
8 57 40 946270 1 39016
8 57 40 995418 1 39066
8 57 41 44458 1 39116
8 57 41 93707 1 39166
8 57 41 142834 1 39216
8 57 41 195978 1 39266
8 57 41 245217 1 39316
8 57 41 294372 1 39366
8 57 41 347394 1 39416
8 57 41 396405 1 39467
8 57 41 445997 1 39517
8 57 41 495115 1 39567
8 57 41 548166 1 39617
8 57 41 597171 1 39667
8 57 41 646731 1 39717
8 57 41 695605 1 39767
8 57 41 745019 1 39817
8 57 41 798104 1 39867
8 57 41 847349 1 39917
8 57 41 896507 1 39967
8 57 41 945766 1 40017
8 57 41 994792 1 40067
8 57 42 48253 1 40117
8 57 42 97231 1 40167
8 57 42 146437 1 40217
8 57 42 195213 1 40267
8 57 42 248753 1 40317
8 57 42 297873 1 40367
8 57 42 347162 1 40417
8 57 42 395978 1 40467
8 57 42 445381 1 40517
8 57 42 498576 1 40567
8 57 42 547834 1 40617
8 57 42 596793 1 40667
8 57 42 646077 1 40717
8 57 42 698774 1 40767
8 57 42 748214 1 40817
8 57 42 797593 1 40867
8 57 42 846855 1 40918
8 57 42 899814 1 40968
8 57 42 949214 1 41018
8 57 42 998043 1 41068
8 57 43 47672 1 41118
8 57 43 100611 1 41168
8 57 43 149880 1 41218
8 57 43 198790 1 41268
8 57 43 248250 1 41318
8 57 43 297345 1 41368
8 57 43 350561 1 41418
8 57 43 399594 1 41468
8 57 43 448930 1 41518
8 57 43 497781 1 41568
8 57 43 547379 1 41618
8 57 43 600447 1 41668
8 57 43 649703 1 41718
8 57 43 698452 1 41768
8 57 43 748223 1 41818
8 57 43 797061 1 41868
8 57 43 850451 1 41918
8 57 43 899494 1 41968
8 57 43 948726 1 42018
8 57 44 1767 1 42068
8 57 44 50974 1 42118
8 57 44 100082 1 42168
8 57 44 149389 1 42218
8 57 44 198560 1 42268
8 57 44 251685 1 42318
8 57 44 300809 1 42368
8 57 44 350212 1 42418
8 57 44 399379 1 42468
8 57 44 448444 1 42518
8 57 44 501493 0 42568
8 57 44 550845 0 42618
8 57 44 600222 0 42668
8 57 44 649100 0 42718
8 57 44 698268 0 42768
8 57 44 751611 0 42818
8 57 44 800655 0 42868
8 57 44 849913 0 42918
8 57 44 899149 0 42968
8 57 44 948148 0 43018
8 57 45 1384 0 43068
8 57 45 50396 0 43118
8 57 45 99418 0 43168
8 57 45 148909 0 43218
8 57 45 198013 0 43268
8 57 45 251350 0 43318
8 57 45 300396 0 43368
8 57 45 349560 0 43418
8 57 45 402634 0 43468
8 57 45 451991 0 43518
8 57 45 501132 0 43568
8 57 45 550345 0 43618
8 57 45 599513 0 43668
8 57 45 652570 0 43718
8 57 45 701813 0 43768
8 57 45 751071 0 43819
8 57 45 800153 0 43869
8 57 45 853402 0 43919
8 57 45 902522 0 43969
8 57 45 951609 0 44019
8 57 46 861 0 44069
8 57 46 50101 -1 44119
8 57 46 102973 -1 44169
8 57 46 152500 -1 44219
8 57 46 201598 -1 44269
8 57 46 250822 -1 44319
8 57 46 303865 -1 44369
8 57 46 353178 -1 44419
8 57 46 402378 -1 44469
8 57 46 451523 -1 44519
8 57 46 500591 -1 44569
8 57 46 553924 -1 44619
8 57 46 603018 -1 44669
8 57 46 652193 -1 44719
8 57 46 701326 -1 44769
8 57 46 754388 -1 44819
8 57 46 803585 -1 44869
8 57 46 852970 -1 44919
